"argomento_normalizzato","lemma_normalizzato","occorrenze_lemma","chiave_semantica","varianti_nella_chiave_semantica","macrocategoria","occorrenze_macrocategoria","esito_revisione","blocco_principale","testo_originale","azione_editoriale","gruppo_editoriale","tipo_accorpamento","occorrenze_gruppo_editoriale","tipo_indicatore","natura","occorrenze_in_slide_distinte","area","codice_blocco","titolo_blocco","file","numero_slide","titolo_slide","stato_verifica_contenuto","data_verifica_contenuto","hash_verifica_contenuto","riferimento"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","12","#VALORE!","non verificata","","","su03-04-prime-formule.html#slide-12"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","13","#RIF!","non verificata","","","su03-04-prime-formule.html#slide-13"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","14","#NOME?","non verificata","","","su03-04-prime-formule.html#slide-14"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","15","#N/D","non verificata","","","su03-04-prime-formule.html#slide-15"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","16","#NUM!","non verificata","","","su03-04-prime-formule.html#slide-16"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","17","#NULLO!","non verificata","","","su03-04-prime-formule.html#slide-17"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","18","#ERROR!","non verificata","","","su03-04-prime-formule.html#slide-18"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","19","#ESPANSIONE!","non verificata","","","su03-04-prime-formule.html#slide-19"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","20","#CALC!","non verificata","","","su03-04-prime-formule.html#slide-20"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","21","Errori dei dati collegati","non verificata","","","su03-04-prime-formule.html#slide-21"
"correzione","correzione","11","correzion","2","","0","progressione nello stesso blocco","","💡 Correzione","mantenere come progressione","lemma: correzione","voce autonoma o già distinta","11","etichetta","contenuto","11","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","22","Altri stati moderni","non verificata","","","su03-04-prime-formule.html#slide-22"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","12","#VALORE!","non verificata","","","su03-04-prime-formule.html#slide-12"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","13","#RIF!","non verificata","","","su03-04-prime-formule.html#slide-13"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","14","#NOME?","non verificata","","","su03-04-prime-formule.html#slide-14"
